id,director_name,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,movie_title,plot_keywords,movie_imdb_link,language,country,budget,title_year,imdb_score,Images
1,James Cameron,178,CCH Pounder,Joel David Moore,Wes Studi,760505847,Action|Adventure|Fantasy|Sci-Fi,Avatar,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,English,USA,237000000,2009,7.9,https://image.tmdb.org/t/p/w300/6EiRUJpuoeQPghrs3YNktfnqOVh.jpg
2,Gore Verbinski,169,Johnny Depp,Orlando Bloom,Jack Davenport,309404152,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,English,USA,300000000,2007,7.1,https://www.themoviedb.org/t/p/w440_and_h660_face/gbfonQ0kpu3iLr5WZpwVTcgzI17.jpg
3,Sam Mendes,148,Christoph Waltz,Rory Kinnear,Stephanie Sigman,200074175,Action|Adventure|Thriller,Spectre,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,English,UK,245000000,2015,6.8,https://www.themoviedb.org/t/p/w440_and_h660_face/WPdhZjYqypHQhEje3t7n6ZGoOC.jpg
4,Christopher Nolan,164,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,448130642,Action|Thriller,The Dark Knight Rises,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,English,USA,250000000,2012,8.5,https://www.themoviedb.org/t/p/w440_and_h660_face/6doRIUrCTNjUEk2WzC3DU6QMG4U.jpg
5,Andrew Stanton,132,Daryl Sabara,Samantha Morton,Polly Walker,73058679,Action|Adventure|Sci-Fi,John Carter,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,English,USA,263700000,2012,6.6,https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/76/76566854-9a0f-410a-9edd-f320601c88d1.jpg
6,Sam Raimi,156,J.K. Simmons,James Franco,Kirsten Dunst,336530303,Action|Adventure|Romance,Spider-Man 3,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,USA,258000000,2007,6.2,https://www.themoviedb.org/t/p/w440_and_h660_face/v5DYO2XG3lleVHudxnzbX0M8xvL.jpg
7,Nathan Greno,100,Brad Garrett,Donna Murphy,M.C. Gainey,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,English,USA,260000000,2010,7.8,https://images4.fanpop.com/image/photos/18600000/Tangled-Poster-disney-18640207-1148-1600.jpg
8,Joss Whedon,141,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,English,USA,250000000,2015,7.5,https://thesource.com/wp-content/uploads/2015/04/Avengers_Age_Of_Ultron-poster1.jpg
9,David Yates,153,Alan Rickman,Daniel Radcliffe,Rupert Grint,301956980,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince,blood|book|love|potion|professor,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,English,UK,250000000,2009,7.5,https://www.themoviedb.org/t/p/w440_and_h660_face/maSb8d6250hUSiTCM1PbHunKxhW.jpg
10,Zack Snyder,183,Henry Cavill,Lauren Cohan,Alan D. Purwin,330249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,English,USA,250000000,2016,6.9,https://i.pinimg.com/564x/b7/d7/32/b7d7329d7b38b28baa7eb62e072d2285.jpg
